ID_Pengguna;Nama;NoTelp;Email;Alamat;Domisili;Latitude;Longitude;Tanggal_Bergabung
11;Najam Purwanti;(047) 671 7998;najampurwanti@yahoo.com;"Gang BKR No. 938
Pariaman, KR 93260";Bekasi;76.592802;-78.477817;2020-01-29
12;Tugiman Tamba;+62 (72) 044-1500;tugimantamba@yahoo.com;"Gang Suryakencana No. 70
Bima, GO 57083";Sungai Penuh;22.7242955;-34.755480;2020-06-05
13;Kamila Prabowo;(085) 926 3027;kamilaprabowo@hotmail.com;"Jl. K.H. Wahid Hasyim No. 5
Lhokseumawe, MU 33506";Bandung;68.071468;-11.045313;2021-09-15
14;Raden Dongoran;(058) 373 1291;radendongoran@hotmail.com;"Jl. Suryakencana No. 407
Sabang, BE 99076";Ambon;1.9450585;-62.469838;2023-10-03
15;Syahrini Pertiwi;+62-626-954-7580;syahrinipertiwi@gmail.com;"Jalan Otto Iskandardinata No. 9
Ambon, Kalimantan Tengah 01889";Surakarta;12.823825;-28.268218;2022-05-25
16;Paulin Samosir;+62-466-410-1172;paulinsamosir@hotmail.com;"Jalan K.H. Wahid Hasyim No. 18
Palu, Maluku 12867";Pagaralam;34.8749365;-126.924296;2021-07-03
17;Warsa Haryanto;0803187677;warsaharyanto@gmail.com;"Gang Cempaka No. 4
Kota Administrasi Jakarta Barat, RI 92451";Mojokerto;-3.705052;-134.834213;2024-04-01
18;Ina Prakasa;(0776) 148 8879;inaprakasa@yahoo.com;"Gang Jakarta No. 8
Denpasar, Sumatera Barat 08373";Bandar Lampung;9.2309535;11.446527;2020-05-11
19;Luwes Hutapea;+62 (0824) 851 2765;luweshutapea@yahoo.com;"Jl. Pasirkoja No. 1
Kota Administrasi Jakarta Barat, NT 24005";Salatiga;-77.1008675;125.294734;2021-05-06
20;Luthfi Rahmawati;+62 (0819) 295-0280;luthfirahmawati@gmail.com;"Gang Ir. H. Djuanda No. 28
Lhokseumawe, Sulawesi Utara 19506";Kota Administrasi Jakarta Utara;2.1367985;143.476567;2021-02-18
21;Bakti Simanjuntak;083 529 9745;baktisimanjuntak@yahoo.com;"Jl. H.J Maemunah No. 18
Samarinda, Sumatera Barat 60497";Pontianak;-78.916503;27.306952;2024-02-03
22;Titin Prakasa;+62 (054) 468-3930;titinprakasa@hotmail.com;"Jalan Indragiri No. 855
Kotamobagu, SG 53679";Bima;5.364919;4.602394;2022-01-24
23;Olga Novitasari;+62 (343) 223-3835;olganovitasari@yahoo.com;"Gg. Kiaracondong No. 7
Bengkulu, Sumatera Barat 83844";Ternate;82.535344;47.918863;2020-07-04
24;Ira Padmasari;(052) 514-5564;irapadmasari@yahoo.com;"Gg. Raya Ujungberung No. 20
Bitung, PB 29355";Depok;71.221065;153.789301;2021-04-08
25;Jamalia Anggriawan;(052) 962-6430;jamaliaanggriawan@hotmail.com;"Jl. Tubagus Ismail No. 6
Padang Sidempuan, PB 63791";Tegal;-10.178021;34.189683;2023-07-23
26;Ilyas Suryono;0842124898;ilyassuryono@yahoo.com;"Gg. Cempaka No. 065
Padang, SN 40024";Padang;-77.0829115;-68.960206;2023-06-17
27;Yono Hakim;+62-096-959-8627;yonohakim@yahoo.com;"Jalan Wonoayu No. 192
Padang Sidempuan, Jawa Barat 00143";Kota Administrasi Jakarta Barat;-79.016880;82.684785;2023-09-29
28;Kamal Saefullah;+62 (0611) 319-2590;kamalsaefullah@gmail.com;"Gang Dr. Djunjunan No. 8
Cirebon, Sumatera Selatan 48702";Sibolga;62.3145775;75.008593;2022-10-12
29;Garang Pradipta;0878823098;garangpradipta@gmail.com;"Jalan Pelajar Pejuang No. 38
Padang, DKI Jakarta 43161";Tanjungbalai;-57.025093;168.935176;2023-11-21
30;Kenzie Hardiansyah;+62 (662) 577 2982;kenziehardiansyah@hotmail.com;"Gang Gedebage Selatan No. 723
Kota Administrasi Jakarta Pusat, Papua 83994";Sabang;3.687847;141.289138;2021-01-12
31;Adikara Mangunsong;+62-091-035-7431;adikaramangunsong@hotmail.com;"Gang Dipatiukur No. 850
Denpasar, Jawa Tengah 05331";Blitar;-29.743617;-140.527298;2022-06-10
32;Zulfa Nurdiyanti;+62 (391) 675-5039;zulfanurdiyanti@gmail.com;"Jl. Suniaraja No. 175
Cilegon, SS 63242";Binjai;87.6892215;86.975483;2023-08-15
33;Jabal Zulaika;+62-855-582-9164;jabalzulaika@gmail.com;"Jalan Sukajadi No. 73
Kupang, BB 43577";Lubuklinggau;-20.3801085;-39.900016;2021-05-28
34;Cawuk Hakim;+62-79-310-8592;cawukhakim@hotmail.com;"Jalan Dr. Djunjunan No. 595
Bau-Bau, ST 46250";Sawahlunto;-69.4189175;25.615782;2021-01-12
35;Nadia Hariyah;+62-188-437-0749;nadiahariyah@gmail.com;"Gang R.E Martadinata No. 83
Kota Administrasi Jakarta Timur, Kalimantan Utara 05310";Sukabumi;-54.555291;10.130659;2020-05-31
36;Respati Wibisono;(0166) 828-1409;respatiwibisono@yahoo.com;"Jl. Jamika No. 8
Palopo, JK 77647";Jambi;52.090492;167.698102;2022-12-11
37;Prasetyo Uyainah;+62 (38) 278 3280;prasetyouyainah@gmail.com;"Jalan Moch. Toha No. 409
Bukittinggi, AC 12449";Surakarta;25.7654115;71.797892;2021-09-26
38;Edi Megantara;(0017) 658 8293;edimegantara@hotmail.com;"Jalan R.E Martadinata No. 898
Salatiga, BE 90428";Surakarta;-59.3765655;-34.598840;2023-05-02
39;Kunthara Megantara;+62 (76) 720-4309;kuntharamegantara@yahoo.com;"Gang Jamika No. 4
Bogor, KB 77574";Bukittinggi;57.735515;3.073238;2022-01-05
40;Bakiono Melani;+62 (73) 109-2874;bakionomelani@hotmail.com;"Jalan Dr. Djunjunan No. 185
Kotamobagu, MA 25708";Tangerang;27.627799;47.888854;2021-05-24
